id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
41172,Sue's Place in Bernal Heights,53314,Sue,,Bernal Heights,37.74132,-122.41818,Private room,125,3,275,11/1/2021,2.24,1,346,12,Pending Application
41423,Guest Cottage - SF,180715,Dana,,Glen Park,37.7369,-122.43451,Entire home/apt,125,30,153,9/28/2021,1.35,1,301,3,30 Day Minimum Stay Required
41609,Spacious Quiet SF Downtown Retreat,54299,Peter,,Downtown/Civic Center,37.78887,-122.41306,Entire home/apt,149,30,22,8/16/2021,0.17,1,299,5,
42577,Garden View Hideaway - PET FRIENDLY,127367,Annette,,Potrero Hill,37.75454,-122.38698,Entire home/apt,150,30,2,8/20/2017,0.02,14,365,0,
44032,The Mission-100% Private,98733,David + Tina,,Mission,37.75158,-122.41158,Entire home/apt,105,30,295,9/28/2021,2.64,1,113,6,Monthly Only
44680,Cute Noe/Mission Apartment,196626,Paul,,Mission,37.75131,-122.42167,Entire home/apt,150,60,3,10/4/2010,0.02,1,173,0,
45956,Central in SF - Victorian Classic Home - 5 Stars,202591,Jeffrey,,Western Addition,37.77189,-122.43074,Private room,95,1,180,11/20/2020,3.32,1,165,1,CIty Registration Pending
47682,One-bedroom apt.  Lafayette Park,216682,Jay,,Pacific Heights,37.79186,-122.42429,Entire home/apt,119,30,30,5/27/2021,0.22,9,326,2,
51557,Centrally Located Victorian Apartment,237200,Len,,Western Addition,37.7714,-122.42935,Entire home/apt,125,31,108,9/20/2020,0.84,1,325,0,
51773,Prime Location - Small Cozy Room,216682,Jay,,Pacific Heights,37.79373,-122.42507,Private room,43,30,165,9/12/2021,1.87,9,306,2,
53280,Large & sunny room with bath + yard,126263,Cecilia,,Bernal Heights,37.73805,-122.41165,Private room,95,3,145,12/15/2019,1.2,2,3,0,STR-0000280
53934,"Urban Rainbow: Artsy, Downtown Condo",252376,Megan,,Downtown/Civic Center,37.78786,-122.41618,Entire home/apt,130,30,236,9/22/2021,2.03,1,69,3,71
54518,Financial District Corporate Condo,255971,Kathy,,Financial District,37.79337,-122.40198,Entire home/apt,159,30,19,11/22/2019,0.15,1,347,0,
54634,Studio Apartment Lafayette Park,216682,Jay,,Pacific Heights,37.79352,-122.42649,Entire home/apt,96,30,46,10/2/2021,0.78,9,318,6,
55632,"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",262875,Paul & Debbie,,Outer Richmond,37.77927,-122.48432,Entire home/apt,125,30,13,3/28/2021,0.1,2,215,1,
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",262875,Paul & Debbie,,Twin Peaks,37.74778,-122.44566,Entire home/apt,116,30,27,4/21/2019,0.22,2,275,0,
56621,Prime Location - Large Private Room,216682,Jay,,Pacific Heights,37.79183,-122.42425,Private room,47,30,127,8/24/2019,1.03,9,218,2,
57479,Beautiful Alamo Park flat w deck,210882,Gaurav,,Western Addition,37.77434,-122.4373,Entire home/apt,500,30,153,10/13/2020,1.36,1,311,0,
57561,"Bernal Heights Apartment, Patio + Parking",272890,Theodore,,Bernal Heights,37.74684,-122.41548,Entire home/apt,178,30,218,2/28/2021,2.14,1,336,2,City registration pending
57676,"Bartlett Gardens: Spacious, bright!",142882,Jessica And Sebouh,,Mission,37.75758,-122.42043,Private room,99,30,122,9/14/2019,2.49,2,89,0,STR-0000875
58185,Quiet Home in the Trees of Forest Knolls,278102,Brooke,,Inner Sunset,37.75502,-122.45829,Entire home/apt,329,2,4,7/17/2020,0.13,1,0,0,STR-0004065
59702,Garden Cottage Charming!,287136,Toby,,Bernal Heights,37.74188,-122.4127,Private room,150,30,192,7/14/2019,2.2,1,164,0,STR-0000109
59831,Lovely quiet private room in Home,287859,Lawrence,,Outer Sunset,37.75674,-122.49178,Private room,100,60,1,5/23/2011,0.01,1,0,0,
60365,Charming Victorian 3-Bedrms-2Baths + Free Parking!,279544,Emilie,,Western Addition,37.77034,-122.43594,Entire home/apt,443,4,226,10/19/2021,1.8,2,95,14,STR-0003775
62519,Lovely Room in Charming Edwardian,304426,Abhay,,Noe Valley,37.7422,-122.42996,Private room,85,2,37,3/8/2019,0.46,2,0,0,STR-0000261
62651,GORGEOUS SAN FRANCISCO HOME,185923,Agnieszka,,Mission,37.76314,-122.42468,Entire home/apt,750,3,62,9/24/2021,1.47,1,340,6,pending
63247,Lovely art suite with parking and yard,290120,Anne,,Mission,37.74921,-122.41422,Entire home/apt,164,2,391,10/26/2021,3.17,2,333,34,STR-0000315
64165,Great room in a fantastic location!,237691,Regina,,Marina,37.80284,-122.42839,Private room,105,30,69,9/6/2021,0.56,1,346,1,
66119,Large garden studio  apt. near Golden Gate Park,52862,Joe,,Outer Richmond,37.77737,-122.47985,Entire home/apt,90,30,100,3/30/2021,0.81,2,364,2,City registration pending
68239,Beautiful 1bdr apt by Dolores Park in Mission,337833,Philipp,,Mission,37.75393,-122.42505,Entire home/apt,326,30,41,8/31/2021,0.63,1,359,1,
69410,Private 1BR Inner Richmond Apt,347624,Patrick,,Inner Richmond,37.77585,-122.46413,Entire home/apt,80,30,58,9/5/2021,0.49,1,296,5,
69681,Panorama Pacific View - Pet Friendly,127367,Annette,,Outer Richmond,37.77505,-122.50776,Entire home/apt,185,30,8,5/15/2021,0.07,14,363,1,
70139,Noe Valley Eco-Escape +Maid Service,354456,Rachel,,Bernal Heights,37.74544,-122.42271,Entire home/apt,94,30,11,8/7/2021,0.11,1,339,1,
70753,Dorm Bed In Friendly Hostel Community #1,329072,James & Friends,,Financial District,37.7937,-122.40417,Shared room,45,1,404,11/1/2021,3.39,15,91,1,428539
71645,"Northslope Studio in Bernal Heights with a Zen, Leafy Patio",367464,Jeff,,Bernal Heights,37.74409,-122.40846,Entire home/apt,112,3,191,10/21/2021,2.99,1,214,39,STR-0001113
72365,Large loft studio in the center of SF. F1A,374909,Eric,,Western Addition,37.77489,-122.4322,Entire home/apt,90,30,69,3/31/2021,0.56,13,274,2,
72444,Dorm Bed In Friendly Hostel Community #2,329072,James & Friends,,Financial District,37.7937,-122.40417,Private room,45,1,484,10/25/2021,5.25,15,68,59,428539
72921,Wonderful private 1 bedroom apt. F6,374909,Eric,,Western Addition,37.77487,-122.43221,Entire home/apt,100,30,53,8/26/2020,0.42,13,274,0,
74451,Views of SF from a nice studio F5,374909,Eric,,Western Addition,37.77497,-122.4323,Entire home/apt,100,30,24,8/1/2021,0.5,13,336,3,
77175,Social Distance Friendly Private Studio,395569,Tyler&Shoreh,,Glen Park,37.73711,-122.43525,Entire home/apt,127,3,322,11/1/2021,2.63,1,206,21,STR-0000227
78651,Heart of the Mission: Hot spot,142882,Jessica And Sebouh,,Mission,37.75585,-122.42081,Private room,85,30,92,9/19/2019,1.71,2,365,0,STR-0000875
80394,Hideaway in the Haight,126930,Abla,,Haight Ashbury,37.77065,-122.44433,Entire home/apt,135,30,26,8/29/2021,0.9,1,136,2,STR-0003597
81158,Sweet 1 br Garden Apartment -  Lewhit Cottage,439589,Brent,,Western Addition,37.78408,-122.44436,Entire home/apt,72,30,24,9/18/2021,0.55,1,237,2,
83257,Charming Lower Pac Hts Private Room,453743,Kimberly,,Western Addition,37.78353,-122.44369,Private room,90,30,100,10/25/2019,1.83,1,339,0,STR-0000187
91957,Sunny SF Flat with 5*s,495796,Joy,,Haight Ashbury,37.76114,-122.44929,Entire home/apt,225,30,95,1/1/2019,0.84,1,305,0,City registration pending
96383,Prime Location Bright Private Room,216682,Jay,,Pacific Heights,37.79359,-122.42421,Private room,49,30,139,10/18/2021,1.23,9,346,4,
99094,Spacious Edwardian Flat SF Mission,522225,Marzio,,Mission,37.76945,-122.42456,Entire home/apt,249,30,21,8/21/2021,0.23,1,40,8,STR-0002435
105497,Private Room in San Francisco!,547669,Jamie,,Outer Sunset,37.75699,-122.4973,Private room,90,45,4,8/16/2019,0.08,4,364,0,
109883,San Francisco Serenity/ lovely home,566147,Adam,,West of Twin Peaks,37.73241,-122.46432,Entire home/apt,140,2,409,10/17/2021,3.34,1,350,35,STR-0004737
110825,Charming Cottage with Bay View,568933,Michael,,Bayview,37.71664,-122.38981,Entire home/apt,120,30,9,8/11/2019,0.07,1,334,0,
114401,Room w/ a View in the Castro!,580606,George,,Castro/Upper Market,37.75939,-122.43051,Private room,115,1,615,10/30/2021,7.09,1,329,22,STR-0000045
115242,Telegraph Hill-Full Bay View.Updated 1br++.Parking,582450,Dawn,,North Beach,37.80599,-122.40943,Entire home/apt,130,30,15,10/1/2021,0.12,1,222,3,
121065,Victorian 1BR/1BA in Castro/Duboce,608445,Hassan,,Western Addition,37.77117,-122.43292,Entire home/apt,110,30,36,6/21/2017,0.34,2,61,0,
124011,Golden Gate Park/UCSF Family High-Tech Victorian,617985,Patrick,,Inner Sunset,37.76317,-122.47029,Entire home/apt,580,7,16,9/30/2021,0.18,1,273,5,STR-0001525
128230,Castro Sanctuary,634277,Maria,,Castro/Upper Market,37.75737,-122.43566,Entire home/apt,295,2,165,8/27/2021,1.34,1,271,10,STR-0001224
130775,Emergency happy room-sink  UCSF/USF-San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,11,8/17/2019,0.13,9,365,0,
132441,"Calm, Cool & Collected
on Sunny Bernal Hill",650862,Kurt,,Bernal Heights,37.73987,-122.4234,Private room,96,1,149,9/27/2021,1.53,1,173,15,STR-0000445
138221,Lone Mountain Pied A Terre,674976,Phil,,Inner Richmond,37.77664,-122.45586,Entire home/apt,140,30,77,9/24/2021,0.77,2,68,6,STR-0000110
138592,Modern Architectural Gem - 4 Bdrm,648553,Julie & Brad,,Noe Valley,37.75635,-122.42864,Entire home/apt,1250,5,29,7/25/2021,0.33,1,99,2,Pending Application
138772,Garden Studio,261304,Claire,,Castro/Upper Market,37.75848,-122.43246,Private room,150,5,78,10/30/2021,1.06,1,259,7,STR-0000356
142177,"Stylish, Spacious and Quiet Flat!",656263,Noreen,,Outer Richmond,37.7844,-122.47932,Entire home/apt,525,5,218,9/22/2021,2.19,1,6,14,STR-0002192
144043,Cozy Room in Eclectic SF Farmhouse!,698337,Emily,,Bernal Heights,37.74509,-122.4073,Private room,68,30,146,5/11/2019,1.5,2,28,0,City registration pending
144242,Lake Street Single Family Home,699215,Kate,,Inner Richmond,37.78546,-122.46148,Entire home/apt,495,3,19,7/17/2021,0.15,1,83,1,pending
144978,Prime Location - Small Basic Room,216682,Jay,,Pacific Heights,37.79233,-122.42431,Private room,53,30,120,9/30/2019,1.16,9,348,0,
147443,Best Views in all of San Francisco,709325,Mark,,Diamond Heights,37.74633,-122.44591,Entire home/apt,170,30,110,8/7/2021,1.46,5,325,2,STR-0000672
148627,Romantic Marina Garden Studio,709325,Mark,,Marina,37.79961,-122.42771,Entire home/apt,80,30,113,10/3/2021,0.97,5,229,2,
148769,Ground Floor Studio with Garage Parking,709325,Mark,,Twin Peaks,37.75045,-122.44956,Entire home/apt,70,30,92,8/1/2021,1.07,5,305,3,STR-0000672
150347,Cute Private 2Br Apt in the Mission with Parking!,172182,Brian & Leah,,Mission,37.75981,-122.4188,Entire home/apt,149,30,129,8/18/2021,1.16,2,324,5,
166771,DOWNEY STREET - Victorian Flat,794467,Patti,,Haight Ashbury,37.76973,-122.44695,Entire home/apt,132,30,165,10/8/2021,1.63,1,0,5,
175090,FINANCIAL DIST: Gino's Cozy Getaway,127367,Annette,,Financial District,37.79203,-122.40284,Entire home/apt,110,30,25,10/9/2021,0.28,14,296,1,
175102,FIN. DIST: Mario's Studio Penthouse,127367,Annette,,Chinatown,37.79175,-122.4045,Entire home/apt,135,30,51,9/30/2018,0.63,14,358,0,
176092,Private Garden Artist Space,841810,Carolyn,,Mission,37.75305,-122.40749,Entire home/apt,117,30,325,6/28/2019,2.85,1,90,0,STR-0000075
183859,"Family-Friendly Flat In San Francisco, CA. USA",882283,Stephen,,Glen Park,37.73604,-122.43777,Entire home/apt,220,3,277,11/1/2021,2.5,1,306,22,STR-0000017
191632,Private Entrance Garden Studio,583207,Maria,,Haight Ashbury,37.77444,-122.44969,Entire home/apt,138,2,497,3/15/2020,5.09,1,0,0,STR-0000088
193292,Nice Rooms With Private 1/2 Bath,937281,Lauren&Sarah,,Noe Valley,37.75117,-122.42567,Private room,120,30,63,10/9/2013,0.64,1,124,0,
201313,Fully Furnished 1 bedroom apartment,1479964,James,,North Beach,37.80356,-122.40437,Entire home/apt,140,30,3,6/26/2021,0.08,18,301,1,
207980,"3 Bdrm City View Home w/Parking, deck,",1023546,Bruce,,Diamond Heights,37.74325,-122.43756,Entire home/apt,295,2,474,10/18/2021,4.22,1,259,52,STR-0000023
208714,Cozy fully furnished one bedroom apartment in SF,1027819,Ac,,Downtown/Civic Center,37.78897,-122.41245,Entire home/apt,199,30,78,1/11/2018,0.64,1,364,0,City registration pending
208831,Virtually Your Own Apt in Nth Beach,1028577,Peter,,Russian Hill,37.80121,-122.41339,Entire home/apt,160,3,524,10/31/2021,6.4,1,0,24,STR-0000318
209420,Luxury Modern Loft,1031942,Rachel,,South of Market,37.76996,-122.4038,Entire home/apt,225,30,5,10/9/2011,0.04,3,333,0,
209514,Haight Ashbury Experience Room 2,1032643,Josh,,Haight Ashbury,37.77255,-122.44985,Private room,69,1,523,10/16/2021,5.33,5,363,30,STR-0001099
211117,Spacious Garden-Level Apartment,1089812,Lisa,,Western Addition,37.77625,-122.42863,Entire home/apt,130,30,25,6/30/2021,0.33,1,323,1,
212783,Haight Ashbury Experience Room 1,1032643,Josh,,Haight Ashbury,37.77085,-122.44814,Private room,69,1,494,10/4/2021,4.42,5,355,29,STR-0001099
213532,Haight Ashbury Experience Room 4,1032643,Josh,,Haight Ashbury,37.77175,-122.45012,Private room,69,1,551,10/10/2021,6.03,5,333,33,STR-0001099
217106,Great Ashbury Studio in SF  A3,374909,Eric,,Haight Ashbury,37.76551,-122.44614,Entire home/apt,90,30,50,10/1/2021,0.66,13,246,5,
218567,Balcony on Fillmore Street +Parking,1130612,Marin,,Western Addition,37.78618,-122.43209,Entire home/apt,200,30,87,3/7/2018,0.85,1,274,0,
220418,Haight Ashbury Experience Room 3,1032643,Josh,,Haight Ashbury,37.77031,-122.44948,Private room,67,1,471,10/11/2021,4.77,5,360,25,STR-0001099
229240,Dorm Bed In Friendly Hostel Community #3,329072,James & Friends,,Financial District,37.7937,-122.40417,Shared room,45,1,368,3/1/2020,3.94,15,90,1,428539
229319,Bernal pied-à-terre,12798954,Anya,,Bernal Heights,37.73825,-122.41451,Entire home/apt,135,30,18,1/19/2016,0.24,2,0,0,
231752,Mid-Century Garden Flat in Charming Upper Castro Victorian,691445,LeighAnna,,Castro/Upper Market,37.75751,-122.44016,Entire home/apt,250,30,82,5/26/2021,0.72,1,236,2,
232060,Lovely Private Suite Near UCSF- Monthly Only,1214006,Syl & Art,,Inner Sunset,37.75893,-122.4664,Entire home/apt,99,30,113,9/25/2017,0.98,1,305,0,30+ Rental Only
238204,Spacious SF Getaway Near The Ocean,1248132,"Jennifer, Maria , Andrew",,Parkside,37.74228,-122.50415,Entire home/apt,147,3,244,10/24/2021,2.21,1,363,25,STR-0000446
241235,Dorm Bed In Friendly Hostel Community #4,329072,James & Friends,,Financial District,37.7937,-122.40417,Shared room,45,1,330,6/8/2021,2.72,15,89,2,428539
245339,1 Bedroom near Ballet Symphony,1257432,Rebecca,,Downtown/Civic Center,37.78353,-122.41997,Entire home/apt,129,30,8,9/16/2018,0.08,23,329,0,
256176,Private entrance bd/bath by GG Park,976125,Eva,,Inner Richmond,37.77713,-122.456,Private room,90,2,375,11/1/2021,4.23,1,312,41,STR-0003678
258786,Room with Bay Views,698337,Emily,,Bernal Heights,37.74344,-122.4066,Private room,68,30,16,2/25/2019,0.15,2,28,0,PENDING
259621,Dorm Bed In Friendly Hostel Community #6,329072,James & Friends,,Financial District,37.7937,-122.40417,Shared room,45,1,264,10/29/2021,3.07,15,78,23,428539
259622,Dorm Bed In Friendly Hostel Community #5,329072,James & Friends,,Financial District,37.7937,-122.40417,Shared room,45,1,222,8/3/2021,2.52,15,89,2,428539
269463,Elegant Victorian Flat in Haight,1244308,Lawrence,,Haight Ashbury,37.76761,-122.45139,Entire home/apt,250,2,153,11/1/2021,3.03,1,40,15,STR-0000224
271602,Luxury Condo Downtown/ SoMa,1421296,Richard,,South of Market,37.77907,-122.40503,Entire home/apt,81,30,110,9/7/2021,0.93,1,269,5,STR-0000846
271647,"Private Room w/ 2 Queen Beds, Steps to Ocean Beach",1421509,Matthew,,Outer Sunset,37.75334,-122.50794,Private room,60,30,135,2/14/2021,1.7,2,0,1,STR-0000202
273530,"Sunny Potrero Townhouse ""Nest""",99128,Cathryn,,Potrero Hill,37.75533,-122.39927,Entire home/apt,339,4,34,5/18/2021,0.51,2,0,1,STR-0000036
274334,Newly remodeled clean/private bath,1434669,Ashli,,Outer Sunset,37.7517,-122.5051,Private room,85,3,96,10/23/2021,1.23,1,38,8,STR-0003516
279184,"Sunny 3 BR home in the Mission, great location",1456262,Justin,,Mission,37.75059,-122.41415,Entire home/apt,475,5,13,7/3/2019,0.14,2,0,0,STR-0002616
280549,Bungalow Rooms with Great Views,1454829,Luise,,West of Twin Peaks,37.73948,-122.44947,Private room,250,1,35,7/9/2018,0.35,1,365,0,STR-0000352
284117,"Cozy, Charming Cottage nestled in a Quiet Garden",1479905,Samantha,,Glen Park,37.74102,-122.42815,Entire home/apt,77,30,214,10/10/2021,2.18,2,134,4,STR-0002962
285499,Castro States Street View Penthouse,1479964,James,,Castro/Upper Market,37.76349,-122.4397,Entire home/apt,199,30,4,8/22/2020,0.05,18,150,0,
288213,Stylish Potrero Garden Flat for Two,1498483,Jared & Katherine,,Potrero Hill,37.75924,-122.38948,Entire home/apt,196,2,228,10/31/2021,3.18,1,288,32,STR-0000852
295240,Garden Apartment Oasis with Lush Greenery and a Hot Tub,1525192,Kristoffer,,Castro/Upper Market,37.76066,-122.44102,Entire home/apt,292,2,219,10/24/2021,2.87,1,279,34,STR-0000266
307837,"Lovely, garden studio apartment",1583952,Ellen,,Noe Valley,37.75314,-122.43724,Entire home/apt,169,7,66,1/27/2021,1.03,1,253,2,STR-0003332
308885,North Beach Best Location and View,1588855,Arbe,,Financial District,37.79739,-122.4052,Entire home/apt,90,30,112,9/1/2021,1.08,2,324,1,
314248,Pacific Heights 3 bedroom home,1614566,Sarah,,Pacific Heights,37.78946,-122.43538,Entire home/apt,325,30,50,9/22/2021,1.24,1,310,7,STR-0000133
314368,2BR North Beach - Perfect for Business or Leisure,1229762,Jason,,North Beach,37.80333,-122.40962,Entire home/apt,585,2,62,10/20/2021,1.53,1,164,19,STR-0003012
317121,Small but practical studio in SF,374909,Eric,,Haight Ashbury,37.76547,-122.44616,Entire home/apt,60,30,28,9/30/2021,0.24,13,197,1,
325478,Spacious & artsy 2br Dolores Park flat,1579337,Markus,,Mission,37.76122,-122.42319,Entire home/apt,325,30,142,7/24/2021,1.24,1,62,8,STR-0003787
326650,Lovely beautiful Apt Pac Fillmore,1670339,Je,,Western Addition,37.78457,-122.43177,Entire home/apt,199,30,32,8/7/2015,0.28,2,365,0,
329020,"The Clock Tower, circa 1907.",326840,Jorge,,South of Market,37.78377,-122.39275,Entire home/apt,250,30,6,9/30/2016,0.05,1,0,0,
330535,Victorian Flat amongst the Trees.,625762,Ryan And Lindsea,,Haight Ashbury,37.76699,-122.44643,Entire home/apt,150,30,115,8/15/2021,1.4,2,305,2,
338849,Best area Bright LARGE Beautiful,1670339,Je,,Western Addition,37.78599,-122.43232,Private room,59,30,3,10/16/2014,0.03,2,313,0,
342420,Large Victorian House in Castro,1737796,Elizabeth,,Castro/Upper Market,37.76235,-122.42969,Entire home/apt,662,4,19,7/26/2019,0.25,1,59,0,str-0001201
350479,"Sunny, garden view bedroom",1776403,Ken,,Mission,37.75783,-122.41063,Private room,49,14,46,9/10/2021,0.81,5,186,5,STR-0000166
353292,"Mid-Century Modern Flat, Central Locale",1789683,Tim,,Western Addition,37.77201,-122.4297,Private room,90,30,23,2/16/2020,0.92,1,154,0,STR-0003832
371595,"Private Garden Room- Near UCSF, Sutter Heath & DT",165574,Jonathan,,Presidio Heights,37.78146,-122.45619,Entire home/apt,60,30,245,8/31/2021,2.13,2,159,1,STR-0000138
379349,Best location in San Francisco,1901233,Miriam,,Haight Ashbury,37.76646,-122.44425,Entire home/apt,133,3,338,10/11/2021,3.66,1,288,39,STR-0000963
394575,Grand and Cozy 1920's SF Studio,1190192,Mike & Nic,,Bernal Heights,37.74131,-122.41179,Entire home/apt,149,6,446,10/13/2021,4.3,1,276,32,STR-0000920
400433,"Stylish Mission Condo, steps to Dolores Park",1583699,Tracy,,Mission,37.76015,-122.42098,Entire home/apt,355,2,38,8/18/2021,0.37,1,89,2,STR-0004071
409549,Bernal Village Small Town San Fran,684131,Mary,,Bernal Heights,37.73812,-122.41807,Entire home/apt,217,3,114,10/20/2021,1.13,1,46,22,STR-0000126
409560,Clean Well-lighted Place to Stay,2038517,Rennea,,Ocean View,37.72034,-122.46745,Private room,57,30,15,8/31/2019,0.18,1,179,0,
413663,Luxury PanoView NoeValley Penthouse,1371146,Alex,,Noe Valley,37.7488,-122.44064,Entire home/apt,189,30,72,2/27/2017,0.72,1,364,0,
415498,Prime Location - Studio Apartment,216682,Jay,,Pacific Heights,37.79395,-122.42609,Entire home/apt,89,30,27,7/20/2021,0.23,9,313,6,
423300,"Wild Garden unit  (coders' paradise, 1000 sq .ft.)",1776403,Ken,,Mission,37.75686,-122.41019,Entire home/apt,110,30,28,8/17/2021,0.25,5,331,6,STR-0000166
424846,San Francisco Pied-à-terre,2112291,Martha,,Inner Richmond,37.7835,-122.47445,Private room,421,2,229,8/24/2021,3.12,1,344,2,STR-0001079
431862,Penthouse Studio w Rooftop Deck!,1257432,Rebecca,,Downtown/Civic Center,37.78136,-122.42112,Entire home/apt,107,30,14,9/6/2021,0.22,23,332,3,
437385,Restful Room in a Condo with a Wood Fire,2172763,Melanie,,Outer Richmond,37.77902,-122.50376,Private room,115,3,288,11/1/2021,3.28,1,354,5,STR-0000204
438940,Classic Room in the Heart of The Castro,1841207,Craig,,Castro/Upper Market,37.758919,-122.434776,Private room,83,2,81,11/1/2021,0.92,1,105,11,STR-0001810
442349,Right in the middle living,2198022,Judith,,Western Addition,37.77528,-122.42706,Entire home/apt,150,30,20,9/30/2018,0.19,1,0,0,City registration pending
442397,OceanBeach2br2BathFreeParking!,2198311,Marianne,,Outer Sunset,37.7587,-122.5088,Entire home/apt,389,4,131,3/12/2020,1.3,1,0,0,STR-0002072
