id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,host_days_active,time_since_first_review,time_since_last_review
2436213,2013-05-24,within an hour,100%,0,3,3,0,Outer Mission,House,Private room,2,1,1.0,1.0,$80.00 ,30,1125,1,16,46,321,21,2014-05-25,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Permit / Tax ID: 1016965,0,3,0,3,0,2200.0,4+ years,6-12 months
2448356,2012-05-06,within an hour,100%,0,1,1,1,Pacific Heights,Apartment,Private room,2,1,1.0,1.0,$145.00 ,3,30,4,4,4,4,248,2014-03-26,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000536,1,1,0,1,0,2583.0,4+ years,0-2 weeks
2455313,2014-02-25,within an hour,100%,1,3,3,1,Bernal Heights,House,Entire home/apt,7,2,3.0,5.0,$325.00 ,2,14,4,8,8,8,54,2014-04-09,96.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0002023,0,1,1,0,0,1923.0,4+ years,0-2 weeks
2455325,2010-12-31,within an hour,100%,1,1,1,1,Inner Richmond,House,Entire home/apt,4,2,2.0,2.0,$295.00 ,30,1125,8,38,68,343,190,2014-03-01,96.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0002025,0,1,1,0,0,3075.0,4+ years,2-8 weeks
2460904,2014-02-25,,unknown,0,1,1,1,South of Market,Apartment,Entire home/apt,2,1,1.0,1.0,$150.00 ,30,365,6,6,20,295,40,2014-04-27,93.0,10.0,9.0,10.0,10.0,9.0,10.0,,0,1,1,0,0,1923.0,4+ years,2-8 weeks
2465543,2014-02-26,within an hour,100%,1,1,1,1,Parkside,House,Entire home/apt,4,2,2.0,2.0,$99.00 ,30,180,0,0,0,160,16,2014-06-30,99.0,10.0,10.0,10.0,10.0,10.0,10.0,,0,1,1,0,0,1922.0,4+ years,0-2 weeks
2468125,2014-01-25,within an hour,100%,1,9,9,1,Downtown/Civic Center,Apartment,Private room,2,1,1.0,1.0,$219.00 ,1,1125,0,0,0,4,13,2014-09-30,98.0,10.0,10.0,10.0,10.0,10.0,10.0,License not needed per OSTR,1,5,0,5,0,1954.0,4+ years,6-12 months
2469485,2014-02-27,,unknown,0,1,1,0,Western Addition,Apartment,Entire home/apt,2,1.5,1.0,2.0,$200.00 ,30,30,30,60,90,365,6,2014-03-16,100.0,10.0,10.0,10.0,10.0,10.0,10.0,,1,1,1,0,0,1921.0,4+ years,1+ year
2471457,2013-04-18,,unknown,0,2,2,1,Castro/Upper Market,Apartment,Private room,2,1,1.0,1.0,$200.00 ,2,10,0,0,0,0,214,2014-05-16,97.0,10.0,9.0,10.0,10.0,10.0,9.0,STR-0002833,1,2,1,1,0,2236.0,4+ years,2-6 months
2477787,2013-10-07,within an hour,100%,1,3,3,1,Outer Richmond,House,Entire home/apt,8,2.5,4.0,6.0,$700.00 ,5,1125,0,12,19,22,0,,,,,,,,,STR-0003403,1,1,1,0,0,2064.0,nan,nan
2478558,2014-01-25,within an hour,100%,1,9,9,1,Downtown/Civic Center,Apartment,Private room,2,1,1.0,2.0,$219.00 ,1,1125,0,1,1,1,7,2014-07-10,97.0,10.0,10.0,10.0,10.0,10.0,10.0,License not needed per OSTR,1,5,0,5,0,1954.0,4+ years,2-6 months
2482884,2013-01-17,within a day,0-49%,0,1,1,1,Noe Valley,House,Private room,1,1,1.0,1.0,$80.00 ,3,1125,0,0,0,251,41,2014-07-15,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0002877,0,1,0,1,0,2327.0,4+ years,0-2 weeks
2483759,2014-03-01,within a few hours,100%,1,2,2,1,Western Addition,Apartment,Private room,2,1,1.0,1.0,$95.00 ,1,1125,10,16,21,270,109,2014-05-25,95.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0000043,0,2,1,1,0,1919.0,4+ years,0-2 weeks
2486953,2014-03-02,within an hour,100%,1,1,1,1,Noe Valley,House,Entire home/apt,2,1,1.0,1.0,$279.00 ,3,30,6,29,44,312,114,2014-05-24,97.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0000103,0,1,1,0,0,1918.0,4+ years,0-2 weeks
2488520,2014-03-02,,unknown,0,1,1,1,South of Market,Other,Shared room,2,1.5,1.0,1.0,$200.00 ,30,365,30,60,90,365,93,2014-07-11,99.0,10.0,10.0,10.0,10.0,9.0,10.0,STR-0000497,1,1,0,0,1,1918.0,4+ years,6-12 months
2488837,2013-02-24,within a few hours,100%,1,4,4,1,Bernal Heights,Apartment,Entire home/apt,4,1,2.0,2.0,$140.00 ,31,190,0,0,7,282,63,2014-03-23,94.0,10.0,9.0,9.0,10.0,9.0,9.0,,0,4,4,0,0,2289.0,4+ years,2-6 months
2496086,2014-03-03,within an hour,100%,1,1,1,0,Excelsior,House,Entire home/apt,4,1,2.0,2.0,$185.00 ,3,1125,6,7,12,235,200,2014-11-22,97.0,10.0,10.0,10.0,10.0,9.0,10.0,STR-0002723,0,1,1,0,0,1917.0,4+ years,0-2 weeks
2496719,2010-03-31,within a day,100%,0,1,1,1,Castro/Upper Market,Apartment,Entire home/apt,2,1,1.0,1.0,$125.00 ,30,90,0,0,0,121,4,2014-03-31,100.0,10.0,10.0,10.0,10.0,10.0,10.0,,0,1,1,0,0,3350.0,4+ years,6-12 months
2499257,2014-03-04,,unknown,0,2,2,1,Western Addition,House,Entire home/apt,6,3,3.0,3.0,$333.00 ,30,180,0,0,0,153,20,2014-08-28,96.0,10.0,10.0,10.0,10.0,9.0,9.0,1023553,1,2,2,0,0,1916.0,4+ years,2-8 weeks
2500662,2014-03-04,within a few hours,50-89%,1,4,4,1,Bernal Heights,House,Entire home/apt,6,2,3.0,6.0,$265.00 ,30,1125,0,0,0,260,4,2014-08-11,90.0,9.0,9.0,9.0,9.0,9.0,9.0,,0,2,2,0,0,1916.0,4+ years,1+ year
2502368,2014-02-21,within a few hours,100%,1,2,2,1,Mission,House,Private room,2,1,1.0,1.0,$105.00 ,3,20,1,1,14,182,74,2014-05-20,97.0,10.0,10.0,10.0,10.0,9.0,9.0,STR-0002007,0,2,1,1,0,1927.0,4+ years,0-2 weeks
2502543,2014-02-21,within a few hours,100%,1,2,2,1,Mission,House,Entire home/apt,4,1,2.0,2.0,$215.00 ,7,21,0,0,11,179,20,2014-04-14,91.0,10.0,9.0,10.0,9.0,9.0,9.0,STR-0002007,0,2,1,1,0,1927.0,4+ years,0-2 weeks
2503408,2012-05-15,within an hour,100%,0,2,2,1,Pacific Heights,Apartment,Entire home/apt,2,1,1.0,1.0,$200.00 ,30,1125,20,50,50,109,32,2015-05-05,97.0,10.0,10.0,10.0,10.0,10.0,10.0,City registration pending,0,1,1,0,0,2574.0,4+ years,0-2 weeks
2518781,2011-06-06,within an hour,100%,1,3,3,1,Bernal Heights,Apartment,Entire home/apt,2,1,1.0,1.0,$164.00 ,1,180,1,5,5,55,374,2014-03-17,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0002266,0,3,1,2,0,2918.0,4+ years,0-2 weeks
2521327,2014-03-07,within a few hours,100%,0,1,1,1,Bayview,House,Entire home/apt,2,1,1.0,1.0,$90.00 ,30,360,0,18,48,323,23,2014-09-08,87.0,9.0,9.0,10.0,10.0,8.0,9.0,STR1023659,0,1,1,0,0,1913.0,4+ years,6-12 months
2532756,2014-02-18,within an hour,100%,0,1,1,1,Western Addition,House,Private room,2,1,1.0,1.0,$75.00 ,30,365,0,0,14,289,18,2014-03-22,82.0,9.0,9.0,9.0,9.0,9.0,8.0,,0,1,0,1,0,1930.0,4+ years,6-12 months
2538807,2011-07-06,within a few hours,100%,1,5,5,1,West of Twin Peaks,House,Entire home/apt,2,1,1.0,1.0,$69.00 ,4,26,5,12,23,87,216,2014-03-23,96.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000053,0,3,2,1,0,2888.0,4+ years,0-2 weeks
2539953,2014-03-10,within an hour,100%,1,3,3,1,Noe Valley,House,Entire home/apt,12,2,4.0,0.0,$650.00 ,3,350,10,20,35,188,121,2014-04-15,98.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0000090,0,3,1,2,0,1910.0,4+ years,0-2 weeks
2545771,2013-04-02,,unknown,0,1,1,1,Bernal Heights,House,Entire home/apt,8,2,3.0,5.0,$275.00 ,2,21,0,0,0,0,16,2014-04-03,100.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000597,0,1,1,0,0,2252.0,4+ years,2-8 weeks
2550991,2013-08-29,within a few hours,100%,1,1,1,0,Castro/Upper Market,House,Entire home/apt,1,1,0.0,1.0,$120.00 ,30,360,0,4,4,80,32,2014-05-18,91.0,9.0,9.0,9.0,10.0,10.0,9.0,,0,1,1,0,0,2103.0,4+ years,6-12 months
2551994,2011-08-29,,unknown,0,2,2,1,Castro/Upper Market,Apartment,Entire home/apt,4,1,1.0,2.0,$198.00 ,30,365,0,0,0,49,63,2014-03-20,97.0,9.0,10.0,10.0,10.0,10.0,9.0,,0,2,2,0,0,2834.0,4+ years,6-12 months
2557977,2013-07-22,within an hour,100%,1,4,4,1,Mission,Apartment,Private room,2,1,1.0,1.0,$105.00 ,3,14,0,0,0,0,152,2014-12-23,99.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000087,0,2,1,1,0,2141.0,4+ years,0-2 weeks
2559297,2014-03-01,within a few hours,100%,1,2,2,1,Haight Ashbury,Apartment,Entire home/apt,4,1,2.0,2.0,$235.00 ,2,1125,7,12,16,255,38,2014-04-10,88.0,9.0,9.0,9.0,10.0,10.0,9.0,STR-0000043,0,2,1,1,0,1919.0,4+ years,2-6 months
2564006,2009-09-21,within a day,50-89%,0,6,6,1,Nob Hill,Apartment,Entire home/apt,2,1,0.0,1.0,$122.00 ,30,365,14,29,59,334,17,2014-05-01,86.0,9.0,9.0,9.0,9.0,9.0,8.0,,0,4,4,0,0,3541.0,4+ years,2-6 months
2564140,2009-09-21,within a day,50-89%,0,6,6,1,Nob Hill,Apartment,Entire home/apt,2,1,1.0,1.0,$157.00 ,30,1125,6,6,19,294,20,2014-04-25,87.0,9.0,9.0,9.0,9.0,9.0,9.0,,0,4,4,0,0,3541.0,4+ years,2-6 months
2578122,2011-06-25,within a few hours,100%,1,4,4,1,Castro/Upper Market,Apartment,Private room,2,1,1.0,1.0,$88.00 ,3,90,9,28,28,28,171,2014-07-01,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000980,0,3,0,3,0,2899.0,4+ years,0-2 weeks
2592518,2014-03-18,within a few hours,100%,1,1,1,1,South of Market,House,Entire home/apt,5,1,2.0,2.0,$333.00 ,2,21,4,14,26,72,220,2014-08-09,98.0,10.0,10.0,10.0,10.0,9.0,9.0,STR-0000563,0,1,1,0,0,1902.0,4+ years,0-2 weeks
2608516,2014-03-20,,unknown,0,1,1,1,Bernal Heights,House,Entire home/apt,5,2,2.0,2.0,$199.00 ,3,29,0,0,0,0,27,2014-04-07,98.0,10.0,10.0,10.0,10.0,9.0,10.0,STR-0000172,0,1,1,0,0,1900.0,4+ years,6-12 months
2611820,2010-03-31,within a day,50-89%,0,9,9,1,Mission,Apartment,Entire home/apt,3,1,1.0,2.0,$290.00 ,5,14,1,1,15,15,16,2014-03-24,94.0,10.0,10.0,9.0,10.0,10.0,9.0,STR-0000838,1,1,1,0,0,3350.0,4+ years,2-6 months
2614717,2014-03-21,within a few hours,100%,1,1,1,1,Outer Sunset,House,Private room,2,1,1.0,1.0,$89.00 ,2,14,1,4,12,63,57,2014-04-05,96.0,10.0,9.0,10.0,10.0,9.0,9.0,STR-0000832,0,1,0,1,0,1899.0,4+ years,0-2 weeks
2657854,2012-01-23,within a day,50-89%,0,2,2,0,North Beach,Apartment,Entire home/apt,2,1,0.0,1.0,$70.00 ,60,90,0,0,0,184,6,2014-09-12,88.0,10.0,9.0,9.0,9.0,10.0,10.0,,1,1,1,0,0,2687.0,4+ years,2-6 months
2658295,2014-03-19,within an hour,100%,0,1,1,1,Downtown/Civic Center,Apartment,Private room,4,1,1.0,2.0,$219.00 ,1,5,0,0,0,0,15,2014-05-15,100.0,10.0,10.0,10.0,10.0,10.0,9.0,License not needed per OSTR,0,1,0,1,0,1901.0,4+ years,0-2 weeks
2665028,2014-03-28,within a day,100%,0,1,1,1,Mission,Other,Entire home/apt,2,1.5,1.0,1.0,$180.00 ,20,54,24,54,59,59,28,2014-07-25,99.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0001031,0,1,1,0,0,1892.0,4+ years,2-6 months
2677273,2014-03-30,within an hour,100%,1,1,1,0,Inner Richmond,House,Entire home/apt,4,1,1.0,1.0,$180.00 ,2,1125,7,11,23,222,116,2014-05-08,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000753,0,1,1,0,0,1890.0,4+ years,0-2 weeks
2677288,2014-01-12,within a few hours,100%,1,1,1,1,Castro/Upper Market,Apartment,Private room,2,1,1.0,1.0,$99.00 ,1,1125,1,23,44,294,322,2014-05-12,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0002803,0,1,0,1,0,1967.0,4+ years,0-2 weeks
2683857,2010-09-04,within a few hours,100%,0,1,1,1,Outer Richmond,House,Entire home/apt,6,2,3.0,4.0,$280.00 ,4,27,0,0,2,2,29,2014-07-01,95.0,10.0,10.0,10.0,10.0,9.0,9.0,STR-0000324,0,1,1,0,0,3193.0,4+ years,2-6 months
2686530,2013-05-15,within an hour,100%,1,2,2,1,Mission,Apartment,Private room,1,1,1.0,1.0,$101.00 ,12,28,2,32,62,122,56,2014-04-15,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0002509,1,2,0,2,0,2209.0,4+ years,0-2 weeks
2694526,2013-12-26,within an hour,100%,1,6,6,1,Golden Gate Park,House,Private room,2,1,1.0,1.0,$125.00 ,2,1125,17,26,43,318,164,2014-04-11,96.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0002609,1,5,0,5,0,1984.0,4+ years,0-2 weeks
2706776,2014-01-16,within a few hours,100%,1,2,2,1,Diamond Heights,House,Private room,2,1,1.0,1.0,$188.00 ,4,31,18,48,78,353,57,2014-07-12,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0001020,0,1,0,1,0,1963.0,4+ years,0-2 weeks
2707422,2011-08-09,,unknown,0,1,1,1,Mission,Apartment,Entire home/apt,2,1,1.0,1.0,$184.00 ,4,10,0,0,0,0,17,2014-05-06,99.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000774,0,1,1,0,0,2854.0,4+ years,6-12 months
2710372,2014-04-02,within a few hours,90-99%,0,35,35,1,Marina,House,Entire home/apt,4,1,2.0,2.0,$206.00 ,30,1125,29,30,30,305,11,2015-05-19,95.0,10.0,10.0,10.0,9.0,10.0,10.0,,0,35,35,0,0,1887.0,4+ years,6-12 months
2723005,2013-11-07,,unknown,0,3,3,1,Russian Hill,Apartment,Entire home/apt,6,2,3.0,4.0,$585.00 ,3,8,0,0,0,0,44,2014-08-28,99.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0001929,1,1,1,0,0,2033.0,4+ years,2-8 weeks
2736358,2013-09-04,within a few hours,100%,1,1,1,1,Haight Ashbury,House,Entire home/apt,3,1,1.0,2.0,$185.00 ,2,30,1,3,5,191,275,2014-05-13,96.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0000380,0,1,1,0,0,2097.0,4+ years,0-2 weeks
2737894,2012-03-02,within an hour,100%,1,5,5,1,Castro/Upper Market,Apartment,Private room,2,1.5,1.0,2.0,$80.00 ,3,30,3,7,7,7,24,2014-06-08,95.0,10.0,9.0,10.0,10.0,10.0,9.0,STR-0001810,0,4,0,4,0,2648.0,4+ years,2-8 weeks
2738331,2014-04-07,within an hour,100%,1,1,1,1,Haight Ashbury,Apartment,Entire home/apt,2,1,1.0,1.0,$99.00 ,30,99,1,1,1,133,122,2014-07-22,92.0,10.0,9.0,10.0,10.0,10.0,9.0,,1,1,1,0,0,1882.0,4+ years,2-8 weeks
2739477,2012-02-21,within an hour,90-99%,1,4,4,1,Castro/Upper Market,House,Entire home/apt,6,3,3.0,3.0,$425.00 ,2,90,3,19,33,73,153,2014-05-24,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000146,0,2,2,0,0,2658.0,4+ years,0-2 weeks
2742151,2013-06-26,within a few hours,50-89%,0,3,3,1,Western Addition,House,Entire home/apt,5,1,2.0,3.0,$240.00 ,3,14,0,3,9,257,90,2014-05-21,94.0,9.0,9.0,10.0,10.0,10.0,9.0,City registration pending,0,1,1,0,0,2167.0,4+ years,0-2 weeks
2747383,2014-02-21,within a few hours,100%,1,1,1,0,Outer Sunset,House,Entire home/apt,5,1,2.0,2.0,$295.00 ,2,1125,5,16,23,276,138,2014-04-19,96.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0000606,0,1,1,0,0,1927.0,4+ years,0-2 weeks
2770268,2014-01-30,within an hour,100%,0,2,2,1,Potrero Hill,House,Private room,2,1,1.0,1.0,$100.00 ,2,365,12,38,66,331,183,2014-04-16,94.0,9.0,9.0,10.0,10.0,10.0,9.0,STR-0003067,1,2,0,2,0,1949.0,4+ years,0-2 weeks
2770561,2014-01-30,within an hour,100%,0,2,2,1,Potrero Hill,House,Private room,2,1,1.0,1.0,$80.00 ,2,365,2,2,6,281,140,2014-04-30,94.0,10.0,9.0,10.0,10.0,10.0,9.0,STR-0003067,1,2,0,2,0,1949.0,4+ years,0-2 weeks
2771128,2012-02-29,within an hour,100%,1,1,1,1,Noe Valley,House,Entire home/apt,2,1,0.0,1.0,$220.00 ,3,30,6,32,52,139,156,2014-05-05,96.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0002498,0,1,1,0,0,2650.0,4+ years,0-2 weeks
2783251,2014-04-13,within a few hours,100%,1,1,1,1,Russian Hill,House,Entire home/apt,2,1,1.0,1.0,$185.00 ,4,21,7,12,17,55,204,2014-04-19,97.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0000900,0,1,1,0,0,1876.0,4+ years,0-2 weeks
2790637,2014-04-14,within an hour,100%,0,2,2,1,Potrero Hill,House,Entire home/apt,3,1,1.0,1.0,$280.00 ,5,31,12,18,34,241,46,2014-06-05,100.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0000645,0,2,2,0,0,1875.0,4+ years,0-2 weeks
2802418,2014-04-05,within an hour,100%,0,1,1,1,Outer Richmond,Apartment,Private room,2,2,1.0,1.0,$109.00 ,2,1125,15,40,67,325,256,2014-05-05,95.0,10.0,10.0,9.0,10.0,9.0,9.0,STR-0000602,1,1,0,1,0,1884.0,4+ years,0-2 weeks
2804417,2013-09-29,within a few hours,100%,1,3,3,1,South of Market,Apartment,Entire home/apt,2,1,1.0,1.0,$209.00 ,30,1125,10,40,70,345,13,2014-12-22,98.0,10.0,10.0,10.0,10.0,9.0,9.0,,1,3,3,0,0,2072.0,4+ years,0-2 weeks
2816626,2013-05-09,within a day,50-89%,0,1,1,1,Haight Ashbury,Apartment,Entire home/apt,7,2,3.0,4.0,$350.00 ,3,3,0,0,0,102,9,2014-07-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0003592,0,1,1,0,0,2215.0,4+ years,2-6 months
2823227,2014-04-18,within a day,100%,0,2,2,1,Mission,House,Entire home/apt,2,2,1.0,1.0,$195.00 ,30,1124,0,0,14,289,35,2016-01-11,96.0,10.0,9.0,10.0,10.0,10.0,9.0,STR-0002471,0,1,1,0,0,1871.0,2-3 years,0-2 weeks
2825966,2010-02-15,within an hour,100%,1,1,1,1,Haight Ashbury,House,Private room,1,1,0.0,1.0,$169.00 ,30,365,29,59,89,364,86,2014-08-29,94.0,9.0,10.0,10.0,10.0,10.0,9.0,1029298,0,1,0,1,0,3394.0,4+ years,0-2 weeks
2887744,2014-04-26,within an hour,100%,1,2,2,1,Western Addition,Apartment,Entire home/apt,8,2,3.0,4.0,$600.00 ,3,30,0,0,0,0,185,2014-07-31,99.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000245,0,2,2,0,0,1863.0,4+ years,0-2 weeks
2890120,2011-07-31,within an hour,100%,0,1,1,1,Bernal Heights,House,Entire home/apt,4,1,2.0,2.0,$275.00 ,1,1125,4,7,7,7,31,2014-05-31,95.0,10.0,9.0,10.0,10.0,10.0,9.0,STR-0001585,1,1,1,0,0,2863.0,4+ years,2-8 weeks
2893920,2012-10-24,,unknown,0,1,1,1,North Beach,Apartment,Private room,2,1.5,1.0,1.0,$222.00 ,75,76,27,57,87,87,12,2014-05-12,96.0,10.0,9.0,10.0,10.0,10.0,9.0,,0,1,0,1,0,2412.0,4+ years,6-12 months
2926901,2013-05-12,,unknown,1,68,68,0,Downtown/Civic Center,Apartment,Private room,4,1,0.0,2.0,$179.00 ,2,15,0,0,0,0,44,2014-05-10,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1078479,0,29,0,29,0,2212.0,4+ years,6-12 months
2927781,2013-01-02,within an hour,100%,1,2,2,1,Mission,House,Private room,2,1.5,1.0,1.0,$189.00 ,2,4,21,46,73,348,156,2014-05-08,99.0,10.0,10.0,10.0,10.0,9.0,10.0,STR-0000835,1,2,1,1,0,2342.0,4+ years,0-2 weeks
2931587,2011-12-06,within a few hours,90-99%,0,30,30,1,South of Market,Apartment,Entire home/apt,4,2,2.0,2.0,$239.00 ,30,365,0,3,3,3,2,2014-10-07,60.0,7.0,7.0,6.0,7.0,6.0,5.0,,1,27,27,0,0,2735.0,4+ years,1+ year
2933105,2014-01-17,within a few hours,100%,1,1,1,1,Castro/Upper Market,Apartment,Private room,2,1.5,1.0,1.0,$110.00 ,2,29,5,8,38,38,154,2014-05-20,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0003358,0,1,0,1,0,1962.0,4+ years,0-2 weeks
2933899,2013-05-12,,unknown,1,68,68,0,Downtown/Civic Center,Apartment,Private room,4,1,0.0,1.0,$180.00 ,1,1125,0,0,0,0,24,2014-05-09,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1078479,0,29,0,29,0,2212.0,4+ years,6-12 months
2934290,2013-09-19,within an hour,100%,1,1,1,0,Mission,Apartment,Entire home/apt,4,1,2.0,3.0,$234.00 ,30,40,0,0,0,0,18,2014-08-04,97.0,9.0,10.0,10.0,10.0,10.0,9.0,,1,1,1,0,0,2082.0,4+ years,6-12 months
2935400,2013-11-12,within an hour,100%,1,35,35,0,Chinatown,Apartment,Entire home/apt,2,1,1.0,1.0,$97.00 ,30,1125,0,0,27,117,6,2014-12-15,97.0,9.0,9.0,9.0,10.0,10.0,9.0,,0,8,8,0,0,2028.0,4+ years,6-12 months
2937902,2013-05-12,,unknown,1,68,68,0,Downtown/Civic Center,Apartment,Private room,4,1,0.0,2.0,$180.00 ,1,1125,0,0,0,0,18,2014-08-13,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1078479,0,29,0,29,0,2212.0,4+ years,6-12 months
2942149,2012-11-01,within an hour,100%,1,3,3,1,Excelsior,House,Entire home/apt,6,1,3.0,3.0,$375.00 ,3,1125,3,9,18,277,94,2014-11-28,98.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000162,0,3,3,0,0,2404.0,4+ years,0-2 weeks
2943327,2013-05-12,,unknown,1,68,68,0,Downtown/Civic Center,Apartment,Private room,4,1,0.0,2.0,$180.00 ,1,15,0,0,0,0,19,2014-05-09,95.0,10.0,10.0,10.0,10.0,10.0,9.0,1078479,0,29,0,29,0,2212.0,4+ years,6-12 months
2944266,2014-01-27,,unknown,0,1,1,1,Mission,Apartment,Entire home/apt,4,2,2.0,2.0,$225.00 ,2,28,0,0,0,0,9,2017-10-08,98.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0002588,0,1,1,0,0,1952.0,1-2 years,6-12 months
2944843,2014-05-03,within an hour,100%,1,1,1,1,Outer Sunset,House,Private room,3,1,1.0,2.0,$90.00 ,1,29,5,9,16,82,410,2014-05-10,97.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000575,1,1,0,1,0,1856.0,4+ years,0-2 weeks
2948159,2012-10-31,within a day,100%,1,1,1,1,Diamond Heights,Apartment,Entire home/apt,3,2,2.0,2.0,$285.00 ,3,30,1,9,10,180,52,2014-07-30,99.0,10.0,10.0,10.0,10.0,10.0,10.0,STR-0000593,0,1,1,0,0,2405.0,4+ years,0-2 weeks
2949071,2014-05-03,a few days or more,0-49%,0,1,1,1,Inner Richmond,Apartment,Entire home/apt,5,1,2.0,3.0,$150.00 ,30,1125,12,33,51,326,4,2014-06-06,93.0,10.0,10.0,10.0,10.0,9.0,10.0,,0,1,1,0,0,1856.0,4+ years,6-12 months
2950592,2010-09-23,within an hour,100%,1,1,1,1,Twin Peaks,House,Entire home/apt,6,2,3.0,3.0,$450.00 ,4,28,14,21,34,108,28,2018-03-24,100.0,10.0,10.0,10.0,10.0,9.0,9.0,STR-0001863,0,1,1,0,0,3174.0,1-2 years,0-2 weeks
2956406,2014-05-04,within an hour,100%,1,2,2,1,Outer Sunset,House,Private room,2,1,1.0,1.0,$110.00 ,3,21,12,23,39,80,415,2014-05-10,98.0,10.0,10.0,10.0,10.0,9.0,10.0,STR-0000048,1,2,0,2,0,1855.0,4+ years,0-2 weeks
2959323,2013-05-12,,unknown,1,68,68,0,Downtown/Civic Center,Other,Private room,4,1,0.0,2.0,$180.00 ,1,15,0,0,0,0,10,2014-05-09,92.0,10.0,10.0,10.0,10.0,10.0,10.0,1078479,0,29,0,29,0,2212.0,4+ years,6-12 months
2960229,2013-05-12,,unknown,1,68,68,0,Downtown/Civic Center,Apartment,Private room,4,1,0.0,2.0,$180.00 ,1,1,0,0,0,0,24,2014-09-30,98.0,10.0,10.0,10.0,10.0,9.0,9.0,1078479,0,29,0,29,0,2212.0,4+ years,6-12 months
2965433,2014-05-04,within an hour,100%,1,1,1,1,Russian Hill,Apartment,Entire home/apt,4,1.5,2.0,4.0,$293.00 ,3,20,3,6,9,9,45,2014-06-02,97.0,10.0,10.0,10.0,10.0,10.0,9.0,City Registration Pending,0,1,1,0,0,1855.0,4+ years,0-2 weeks
2968738,2010-06-08,within an hour,100%,1,2,2,1,Twin Peaks,Apartment,Entire home/apt,6,1,2.0,2.0,$599.00 ,1,29,3,3,3,3,83,2014-06-11,98.0,10.0,10.0,10.0,10.0,10.0,9.0,STR-0000201,0,2,1,1,0,3281.0,4+ years,0-2 weeks
2970253,2012-08-28,within an hour,100%,1,1,1,1,Bernal Heights,Apartment,Entire home/apt,1,1,1.0,1.0,$125.00 ,30,180,2,32,62,70,5,2018-05-02,100.0,10.0,10.0,10.0,10.0,10.0,10.0,,0,1,1,0,0,2469.0,1-2 years,2-8 weeks
2980184,2011-06-14,within a few hours,100%,0,1,1,1,Outer Sunset,Apartment,Entire home/apt,6,1,2.0,4.0,$250.00 ,30,120,23,53,83,358,5,2014-10-01,90.0,10.0,10.0,10.0,10.0,9.0,8.0,,1,1,1,0,0,2910.0,4+ years,6-12 months
2980416,2012-11-19,within an hour,100%,1,6,6,1,Bernal Heights,Other,Private room,1,2,1.0,1.0,$59.00 ,30,120,7,7,7,34,10,2014-08-17,100.0,10.0,9.0,10.0,10.0,10.0,10.0,,0,6,0,6,0,2386.0,4+ years,2-8 weeks
